dbpedia_14427,film film film song person album musical album film musicalartist
dbpedia_3681,company beverage person company company company publisher company company person
dbpedia_12020,administrativeregion country settlement administrativeregion administrativeregion administrativeregion administrativeregion settlement settlement settlement
dbpedia_10315,game televisionshow book single song book book year single album
dbpedia_1335,person building officeholder officeholder book person person officeholder officeholder officeholder
dbpedia_6016,university academicjournal academicjournal university scientist book scientist organisation scientist academicjournal
dbpedia_3432,mythologicalfigure worldheritagesite company givenname book ethnicgroup saint saint person mythologicalfigure
dbpedia_16006,officeholder officeholder officeholder officeholder officeholder officeholder writer officeholder writer soccerplayer
dbpedia_278,person person person person person person person person person person
dbpedia_7661,musicalartist soccerplayer soccerplayer soccerplayer soccerplayer soccermanager soccerplayer soccerplayer soccerplayer soccerplayer
dbpedia_11196,writer writer philosopher country musicalartist writer book philosopher writer person
dbpedia_9060,ethnicgroup politicalparty ethnicgroup organisation single organisation ethnicgroup book recordlabel single
dbpedia_14631,film person film film film film film person film person
dbpedia_6019,officeholder soccerclub soccerplayer election officeholder criminal officeholder person televisionshow athlete
dbpedia_21638,radioprogram book building televisionshow person officeholder person book writer writer
dbpedia_4600,curler curler curler basketballplayer gaelicgamesplayer basketballplayer curler curler curler gaelicgamesplayer
dbpedia_20525,book writer book writer book writer novel book book book
dbpedia_22649,school school school school school school school educationalinstitution school school
dbpedia_14877,chemicalcompound chemicalcompound weapon chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound
dbpedia_22706,person writer organisation person book officeholder officeholder president officeholder politician
dbpedia_20349,magazine person person magazine journalist writer magazine person newspaper film
dbpedia_5165,soccerclub soccerplayer station soccermanager university stadium settlement soccermanager university soccerplayer
dbpedia_16157,film film film film film film film film person screenwriter
dbpedia_10722,artist song book song writer film person televisionshow museum museum
dbpedia_3860,rugbyleague soccerleague award basketballleague soccertournament rugbyleague soccerleague soccertournament event soccerleague
dbpedia_6003,writer writer person person writer award award person person screenwriter
dbpedia_8347,musicalartist band musicalartist musicalartist musicalartist album musicalartist musicalartist musicalartist musicalartist
dbpedia_7283,fictionalcharacter book book book comicscharacter film fictionalcharacter fictionalcharacter writer fictionalcharacter
dbpedia_6797,station station station station station station station station station station
dbpedia_4735,country country ethnicgroup militaryconflict officeholder country ethnicgroup ethnicgroup tennisplayer historicplace
dbpedia_8989,film person film film award film film person person film
dbpedia_378,fictionalcharacter book televisionepisode televisionepisode televisionepisode televisionepisode televisionepisode televisionepisode book televisionepisode
dbpedia_21199,insect mineral insect animal insect insect insect insect plant insect
dbpedia_9088,city settlement settlement settlement settlement administrativeregion city administrativeregion administrativeregion settlement
dbpedia_13222,person person person person person person film person person film
dbpedia_16208,book book person person film person film militaryperson film writer
dbpedia_5351,musicalartist album song mythologicalfigure musicalartist settlement classicalmusiccomposition film musicalartist givenname
dbpedia_4947,galaxy galaxy star galaxy galaxy galaxy galaxy galaxy galaxy galaxy
dbpedia_4069,writer award book person person person scientist person person person
dbpedia_4908,organisation badmintonplayer soccerclub organisation badmintonplayer badmintonplayer badmintonplayer badmintonplayer organisation organisation
dbpedia_21148,company company company company company company company company company company
dbpedia_12607,officeholder politicalparty person saint officeholder legislature officeholder senator officeholder film
dbpedia_14616,biologicaldatabase film single band book film song writtenwork single book
dbpedia_3912,footballmatch soccertournament soccertournament soccerclubseason soccertournament soccertournament soccertournament soccertournament soccertournament soccertournament
dbpedia_23314,televisionseason televisionseason televisionseason televisionshow televisionepisode televisionepisode televisionepisode televisionepisode televisionepisode televisionepisode
dbpedia_19823,person academicjournal ncaateamseason academicjournal building building actor theatre university university
dbpedia_21397,song single single single album musicalartist single single single musicalartist
dbpedia_3191,politicalparty militaryperson person person militaryperson militaryconflict militaryconflict cricketer gymnast organisation
dbpedia_18563,school school school school school school school building historicplace school
dbpedia_19114,scientist artificialsatellite crater planet building mythologicalfigure artificialsatellite mythologicalfigure planet artificialsatellite
dbpedia_13642,soapcharacter noble person play person person musicalartist film person film
dbpedia_20239,school village airport settlement settlement language building settlement soccerplayer airport
dbpedia_20570,administrativeregion settlement settlement river river settlement settlement administrativeregion town town
dbpedia_17323,musicgenre musicgenre band song song song single musicgenre album album
dbpedia_12220,athlete nationalfootballleagueseason writer nationalfootballleagueseason baseballplayer basketballplayer award americanfootballteam boxer ncaateamseason
dbpedia_13314,book band automobileengine automobile automobile automobile single aircraft automobile automobileengine
dbpedia_3047,airport film settlement film prison settlement fish settlement film tunnel
dbpedia_9126,televisionshow person film film person person film person person book
dbpedia_2906,company company company company organisation company company organisation supremecourtoftheunitedstatescase company
dbpedia_21657,person televisionshow person person person writer musicalartist televisionshow person person
dbpedia_2824,person person royalty monarch royalty person person royalty person royalty
dbpedia_2821,reptile mammal reptile reptile reptile reptile mammal reptile plant plant
dbpedia_6733,book artistdiscography single radioprogram book album book album writtenwork single
dbpedia_15113,book book book book book company person book book book
dbpedia_18698,city lake settlement village town settlement settlement island town settlement
dbpedia_20498,baseballplayer baseballplayer person baseballplayer company baseballplayer baseballplayer baseballplayer radiostation baseballplayer
dbpedia_7757,chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound
dbpedia_15498,settlement officeholder settlement settlement settlement historicplace protectedarea city city town
dbpedia_1700,mineral mineral mineral mineral mineral mineral mineral mineral chemicalcompound mineral
dbpedia_2594,country country militaryconflict country militaryconflict country country country militaryconflict country
dbpedia_1712,musicalartist musicalartist person person musicalartist person person fictionalcharacter band person
dbpedia_2928,city settlement settlement settlement city town city city village city
dbpedia_15941,book language settlement software recordlabel website artist book book settlement
dbpedia_13882,film soapcharacter book person royalty royalty royalty person noble royalty
dbpedia_11670,astronaut person astronaut film book book astronaut astronaut astronaut film
dbpedia_5923,company star artificialsatellite star artificialsatellite artificialsatellite aircraft artificialsatellite star planet
dbpedia_6463,chemicalcompound drug drug plant drug plant drug plant plant chemicalcompound
dbpedia_13832,game disease chemicalcompound chemicalcompound chemicalcompound videogame chemicalcompound chemicalcompound artwork chemicalcompound
dbpedia_21176,musicalartist person person writer person person businessperson musicalartist person writer
dbpedia_173,film classicalmusiccomposition person film film televisionshow planet film classicalmusiccomposition film
dbpedia_17854,supremecourtoftheunitedstatescase ethnicgroup ethnicgroup holiday ethnicgroup supremecourtoftheunitedstatescase ethnicgroup ethnicgroup supremecourtoftheunitedstatescase ethnicgroup
dbpedia_15961,primeminister politicalparty person primeminister officeholder politicalparty officeholder officeholder politicalparty officeholder
dbpedia_9617,animal brain brain brain brain disease mammal animal brain embryology
dbpedia_21544,writtenwork person book book person award person newspaper museum person
dbpedia_22898,film artistdiscography politician album company televisionstation song book musicalartist building
dbpedia_1854,railwayline settlement railwayline publictransitsystem station railwayline station railwayline station person
dbpedia_9396,governmentagency officeholder officeholder militaryconflict officeholder officeholder officeholder politicalparty officeholder officeholder
dbpedia_22744,officeholder person person person militaryperson militaryconflict person noble militaryperson militaryconflict
dbpedia_15336,writer writer writer writer writer writer writer writer person writer
dbpedia_20387,artist person architect writer person person person artist artist historicplace
dbpedia_2148,televisionshow person sportsevent book person sportsevent non profitorganisation book sportsevent book
dbpedia_4898,mammal mountain species town settlement book mountain mountain artist settlement
dbpedia_9292,person film writer militaryperson person film person person person militaryperson
dbpedia_20909,videogame organisation militaryconflict book militaryconflict writer book videogame mythologicalfigure website
dbpedia_3582,company drug drug disease drug drug drug drug disease drug
dbpedia_10664,soccerplayer soccerplayer soccerclub soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerclub
dbpedia_13042,film person person person pokerplayer person film film person film
dbpedia_1818,wrestlingevent convention amusementparkattraction person musicalartist person person person televisionshow building
dbpedia_3383,film person person person film person film writer person person
